#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
173,2024/08/11,"1,124.00",5.64,"1,141.30","1,066.00","1,067.00","189,874","210,782,588.60"
174,2024/08/08,"1,064.00",-1.39,"1,109.00","1,060.00","1,099.50","117,906","127,752,299.80"
175,2024/08/07,"1,079.00",5.78,"1,080.00","1,010.00","1,040.00","138,044","144,577,126.30"
176,2024/08/06,"1,020.00",-1.92,"1,109.00","1,011.30","1,040.00","286,878","305,958,830.70"
177,2024/08/05,"1,040.00",4,"1,048.00","1,005.00","1,020.00","160,572","165,599,247.70"
178,2024/08/01,"1,000.00",-0.6,"1,026.00",991.80,"1,026.00","144,657","146,142,737.20"
179,2024/07/31,"1,006.00",2.78,"1,019.00",990.00,993.00,"183,752","185,377,457.90"
180,2024/07/30,978.80,-0.02,992.80,950.60,979.00,"85,284","82,713,330.30"
181,2024/07/29,979.00,0.93,"1,000.00",961.00,989.40,"143,324","141,729,065.50"
182,2024/07/28,970.00,4.97,984.30,934.00,942.50,"109,965","105,232,429.40"
183,2024/07/25,924.10,0.01,942.00,921.00,942.00,"56,996","52,783,184.70"
184,2024/07/24,924.00,-1.6,955.00,917.00,943.50,"101,855","94,947,484.90"
185,2024/07/23,939.00,1.19,946.00,915.00,946.00,"73,552","68,632,014.30"
186,2024/07/22,928.00,-0.59,947.00,920.00,947.00,"91,348","84,975,217.90"
187,2024/07/21,933.50,2.7,951.60,910.00,910.00,"122,476","114,650,241.10"
188,2024/07/18,909.00,4,943.00,877.00,881.00,"101,101","91,344,266.70"
189,2024/07/17,874.00,1.16,881.20,865.10,881.20,"52,761","46,078,905.70"
190,2024/07/16,864.00,2.25,866.00,846.20,850.00,"37,773","32,403,545.30"
191,2024/07/15,845.00,-1.04,869.00,842.00,865.00,"48,019","40,854,657.70"
192,2024/07/14,853.90,1.9,871.00,843.00,854.70,"47,029","40,053,587.60"
193,2024/07/11,838.00,1.32,842.00,832.00,840.00,"34,297","28,684,629.00"
194,2024/07/10,827.10,0.73,831.00,805.00,805.00,"29,463","24,341,854.10"
195,2024/07/09,821.10,0.62,824.90,814.00,821.80,"22,317","18,301,134.60"
196,2024/07/08,816.00,-0.48,823.90,815.00,820.00,"22,093","18,075,395.30"
197,2024/07/07,819.90,1.22,824.80,808.20,822.00,"40,969","33,432,393.30"
198,2024/07/04,810.00,-1.1,835.30,804.00,835.30,"76,731","62,335,035.80"
199,2024/07/03,819.00,0.12,822.00,812.00,820.00,"13,705","11,210,465.40"
200,2024/07/02,818.00,1.31,852.00,812.00,823.50,"30,500","24,924,675.60"
